date_order,ord_no,ord_issue_by,site_no,art_no,order_qty,orderv_amt
2021-12-01,ORD000359,นายสมชาย แซ่ลิ้ม,2,7,69,3450
2021-12-01,ORD000359,นายสมชาย แซ่ลิ้ม,2,2,46,1518
2021-12-01,ORD000359,นายสมชาย แซ่ลิ้ม,2,0,69,1518
2021-12-01,ORD000357,นางสาววรรณา พิพัฒน์วงศ์,3,8,20.7,0
2021-12-02,ORD000429,นายสมชาย แซ่ลิ้ม,2,2,46,1518
2021-12-02,ORD000429,นายสมชาย แซ่ลิ้ม,2,5,34.5,2242.5
2021-12-01,ORD000349,นางสาววรรณา พิพัฒน์วงศ์,3,4,17.25,0
2021-12-01,ORD000358,นางสาววรรณา พิพัฒน์วงศ์,1,2,23,0
2021-12-01,ORD000350,นางสาววรรณา พิพัฒน์วงศ์,1,4,34.5,0
2021-12-02,ORD000429,นายสมชาย แซ่ลิ้ม,2,7,69,3450
2021-12-01,ORD000351,นางสาววรรณา พิพัฒน์วงศ์,4,4,17.25,0
2021-12-01,ORD000340,นายอาทิตย์ รุ่งเรือง,4,3,23,0
2021-12-02,ORD000412,นางสาววรรณา พิพัฒน์วงศ์,4,8,20.7,0
2021-12-01,ORD000356,นางสาวอภิชาติ วงศ์สุนทร,4,9,11.5,0
2021-12-01,ORD000362,นางสาวอภิชาติ วงศ์สุนทร,2,0,23,0
2021-12-03,ORD000508,นายสมชาย แซ่ลิ้ม,2,0,69,1518
2021-12-03,ORD000508,นายสมชาย แซ่ลิ้ม,2,7,69,3450
2021-12-03,ORD000508,นายสมชาย แซ่ลิ้ม,2,2,46,1518
2021-12-02,ORD000402,นางสุนีย์ เลิศไพศาล,0,6,13.8,0
2021-12-01,ORD000352,นางสาวอภิชาติ วงศ์สุนทร,3,3,23,0
2021-12-02,ORD000427,นางสาววรรณา พิพัฒน์วงศ์,4,4,17.25,0
2021-12-02,ORD000412,นางสาววรรณา พิพัฒน์วงศ์,4,2,23,0
2021-12-01,ORD000360,นางสาวอภิชาติ วงศ์สุนทร,3,7,46,0
2021-12-01,ORD000354,นางสาวอภิชาติ วงศ์สุนทร,3,9,11.5,0
2021-12-01,ORD000360,นางสาวอภิชาติ วงศ์สุนทร,3,0,11.5,0
2021-12-02,ORD000423,นางสาววรรณา พิพัฒน์วงศ์,0,4,17.25,0
2021-12-01,ORD000353,นางสาวอภิชาติ วงศ์สุนทร,0,3,23,0
2021-12-01,ORD000360,นางสาวอภิชาติ วงศ์สุนทร,3,5,17.25,0
2021-12-02,ORD000409,นางสาววรรณา พิพัฒน์วงศ์,3,2,23,0
2021-12-01,ORD000361,นางสาวอภิชาติ วงศ์สุนทร,0,5,17.25,0
2021-12-01,ORD000361,นางสาวอภิชาติ วงศ์สุนทร,0,0,11.5,0
2021-12-01,ORD000355,นางสาวอภิชาติ วงศ์สุนทร,1,9,11.5,0
2021-12-01,ORD000363,นางสาวอภิชาติ วงศ์สุนทร,1,0,11.5,0
2021-12-02,ORD000403,นายพิชัย เกียรติกุล,1,4,34.5,0
2021-12-02,ORD000411,นางสาววรรณา พิพัฒน์วงศ์,1,8,20.7,0
2021-12-02,ORD000424,นางสาววรรณา พิพัฒน์วงศ์,1,4,34.5,0
2021-12-02,ORD000425,นางสาววรรณา พิพัฒน์วงศ์,1,4,17.25,0
2021-12-02,ORD000444,นางสาวอภิชาติ วงศ์สุนทร,1,5,17.25,0
2021-12-02,ORD000416,นางสาวอภิชาติ วงศ์สุนทร,3,3,23,0
2021-12-02,ORD000431,นางสาวอภิชาติ วงศ์สุนทร,3,5,17.25,0
2021-12-04,ORD000615,นายสมชาย แซ่ลิ้ม,2,4,69,1863
2021-12-04,ORD000615,นายสมชาย แซ่ลิ้ม,2,2,46,1518
2021-12-02,ORD000417,นางสาวอภิชาติ วงศ์สุนทร,2,3,23,0
2021-12-02,ORD000442,นางสาวอภิชาติ วงศ์สุนทร,2,0,46,0
2021-12-04,ORD000615,นายสมชาย แซ่ลิ้ม,2,7,69,3450
2021-12-02,ORD000433,นางสาวอภิชาติ วงศ์สุนทร,1,9,11.5,0
2021-12-02,ORD000442,นางสาวอภิชาติ วงศ์สุนทร,2,5,17.25,0
2021-12-04,ORD000615,นายสมชาย แซ่ลิ้ม,2,5,17.25,1121.25
2021-12-02,ORD000414,นางสาววรรณา พิพัฒน์วงศ์,4,2,23,0
2021-12-03,ORD000482,นายอาทิตย์ รุ่งเรือง,4,3,23,0
2021-12-02,ORD000434,นางสาวอภิชาติ วงศ์สุนทร,4,9,11.5,0
2021-12-02,ORD000432,นายอภิชาติ วงศ์สุนทร,0,9,11.5,0
2021-12-02,ORD000444,นางสาวอภิชาติ วงศ์สุนทร,1,7,11.5,0
2021-12-02,ORD000444,นางสาวอภิชาติ วงศ์สุนทร,1,0,23,0
2021-12-02,ORD000418,นางสาวอภิชาติ วงศ์สุนทร,1,3,23,0
2021-12-02,ORD000414,นางสาววรรณา พิพัฒน์วงศ์,4,8,20.7,0
2021-12-02,ORD000410,นางสาววรรณา พิพัฒน์วงศ์,3,2,23,0
2021-12-02,ORD000422,นางสาววรรณา พิพัฒน์วงศ์,3,4,17.25,0
2021-12-02,ORD000431,นางสาวอภิชาติ วงศ์สุนทร,3,7,11.5,0
2021-12-02,ORD000430,นางสาวอภิชาติ วงศ์สุนทร,3,9,11.5,0
